transaction_id,customer_id,account_id,timestamp,amount,currency,channel,transaction_type,merchant_category,city,is_fraud,fraud_type,status,masked_card,dup_type
TXN00033431,CUST007013,ACC0005159,2024-01-01 22:24:35,814.56,SAR,ATM,REFUND,TRAVEL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-3981,EXACT_DUPLICATE
TXN00033431,CUST007013,ACC0005159,2024-01-01 22:24:35,814.56,SAR,ATM,REFUND,TRAVEL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-7239,EXACT_DUPLICATE
TXN00033650,CUST001132,ACC0002061,2024-01-02 06:03:07,1138.09,SAR,POS,DEBIT,TRAVEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-3661,EXACT_DUPLICATE
TXN00033650,CUST001132,ACC0002061,2024-01-02 06:03:07,1138.09,SAR,POS,DEBIT,TRAVEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-1463,EXACT_DUPLICATE
TXN00009048,CUST005262,ACC0004760,2024-01-02 08:31:37,412.74,SAR,ONLINE,DEBIT,ELECTRONICS,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-6391,EXACT_DUPLICATE
TXN00009048,CUST005262,ACC0004760,2024-01-02 08:31:37,412.74,SAR,ONLINE,DEBIT,ELECTRONICS,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-8530,EXACT_DUPLICATE
TXN00017446,CUST006154,ACC0004912,2024-01-04 06:06:44,1761.32,EUR,ATM,CASH_WITHDRAWAL,GAMBLING,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-8751,EXACT_DUPLICATE
TXN00017446,CUST006154,ACC0004912,2024-01-04 06:06:44,1761.32,EUR,ATM,CASH_WITHDRAWAL,GAMBLING,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-2353,EXACT_DUPLICATE
TXN00026451,CUST004642,ACC0008955,2024-01-04 10:18:48,755.92,SAR,POS,CREDIT,RETAIL,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-5851,EXACT_DUPLICATE
TXN00026451,CUST004642,ACC0008955,2024-01-04 10:18:48,755.92,SAR,POS,CREDIT,RETAIL,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-4102,EXACT_DUPLICATE
TXN00045335,CUST007183,ACC0009675,2024-01-04 13:43:07,52.96,SAR,ONLINE,TRANSFER,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-9132,EXACT_DUPLICATE
TXN00045335,CUST007183,ACC0009675,2024-01-04 13:43:07,52.96,SAR,ONLINE,TRANSFER,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-6017,EXACT_DUPLICATE
TXN00033331,CUST003989,ACC0004024,2024-01-05 21:41:08,151.28,SAR,ONLINE,TRANSFER,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-7829,EXACT_DUPLICATE
TXN00033331,CUST003989,ACC0004024,2024-01-05 21:41:08,151.28,SAR,ONLINE,TRANSFER,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-2522,EXACT_DUPLICATE
TXN00002982,CUST000965,ACC0003011,2024-01-05 22:13:02,2667.22,SAR,POS,CREDIT,FOOD,Mecca,0,LEGITIMATE,PENDING,****-****-****-7581,EXACT_DUPLICATE
TXN00002982,CUST000965,ACC0003011,2024-01-05 22:13:02,2667.22,SAR,POS,CREDIT,FOOD,Mecca,0,LEGITIMATE,PENDING,****-****-****-6013,EXACT_DUPLICATE
TXN00018619,CUST004838,ACC0005466,2024-01-07 08:51:37,2579.09,SAR,POS,CASH_WITHDRAWAL,ELECTRONICS,Dammam,0,LEGITIMATE,completed,****-****-****-6083,EXACT_DUPLICATE
TXN00018619,CUST004838,ACC0005466,2024-01-07 08:51:37,2579.09,SAR,POS,CASH_WITHDRAWAL,ELECTRONICS,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-5801,EXACT_DUPLICATE
TXN00036171,CUST003641,ACC0005461,2024-01-07 10:37:57,1939.72,SAR,POS,DEBIT,TRAVEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-6910,EXACT_DUPLICATE
TXN00036171,CUST003641,ACC0005461,2024-01-07 10:37:57,1939.72,SAR,POS,DEBIT,TRAVEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-5691,EXACT_DUPLICATE
TXN00035745,CUST001417,ACC0004557,2024-01-09 04:41:47,64.52,SAR,ATM,CASH_WITHDRAWAL,GAMBLING,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-7165,EXACT_DUPLICATE
TXN00035745,CUST001417,ACC0004557,2024-01-09 04:41:47,64.52,SAR,ATM,CASH_WITHDRAWAL,GAMBLING,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-3049,EXACT_DUPLICATE
TXN00028835,CUST005714,ACC0006774,2024-01-09 06:31:20,793.91,,ONLINE,CASH_WITHDRAWAL,TRAVEL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-3576,EXACT_DUPLICATE
TXN00028835,CUST005714,ACC0006774,2024-01-09 06:31:20,793.91,GBP,ONLINE,CASH_WITHDRAWAL,TRAVEL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-8259,EXACT_DUPLICATE
TXN00034114,CUST000111,ACC0007375,2024-01-09 06:35:56,1142.85,USD,ATM,CASH_WITHDRAWAL,GAMBLING,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-7755,EXACT_DUPLICATE
TXN00034114,CUST000111,ACC0007375,2024-01-09 06:35:56,1142.85,USD,ATM,CASH_WITHDRAWAL,GAMBLING,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-2546,EXACT_DUPLICATE
TXN00000767,CUST004489,ACC0009789,2024-01-09 12:40:40,1282.32,SAR,MOBILE,CREDIT,FUEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-3175,EXACT_DUPLICATE
TXN00000767,CUST004489,ACC0009789,2024-01-09 12:40:40,1282.32,SAR,MOBILE,CREDIT,FUEL,Medina,0,LEGITIMATE,COMPLETED,****-****-****-8097,EXACT_DUPLICATE
TXN00040683,CUST001789,ACC0006406,2024-01-11 23:23:04,299.15,SAR,POS,CREDIT,ELECTRONICS,,0,LEGITIMATE,COMPLETED,****-****-****-6272,EXACT_DUPLICATE
TXN00040683,CUST001789,ACC0006406,2024-01-11 23:23:04,299.15,SAR,POS,CREDIT,ELECTRONICS,,0,LEGITIMATE,COMPLETED,****-****-****-1273,EXACT_DUPLICATE
TXN00016435,CUST003840,ACC0004706,2024-01-12 01:24:01,1036.89,USD,POS,DEBIT,,Mecca,0,LEGITIMATE,COMPLETED,****-****-****-8514,EXACT_DUPLICATE
