transaction_id,customer_id,account_id,timestamp,amount,currency,channel,transaction_type,merchant_category,city,is_fraud,fraud_type,status,masked_card,z_score,anomaly_level
TXN00033892,CUST005303,ACC0007805,2024-03-12 02:40:03,999999999.0,SAR,ONLINE,DEBIT,FOOD,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-5466,15752.006022390782,EXTREME_OUTLIER
TXN00018737,CUST005081,ACC0002463,2024-09-11 07:40:22,999999999.0,SAR,POS,CASH_WITHDRAWAL,FUEL,Mecca,0,LEGITIMATE,COMPLETED,****-****-****-2294,15752.006022390782,EXTREME_OUTLIER
TXN00014112,CUST001422,ACC0004477,2024-09-15 19:20:07,999999999.0,EUR,ONLINE,CREDIT,RETAIL,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-2015,15752.006022390782,EXTREME_OUTLIER
TXN00022334,CUST004762,ACC0004177,2024-09-21 08:43:51,999999999.0,SAR,MOBILE,TRANSFER,FUEL,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-4324,15752.006022390782,EXTREME_OUTLIER
TXN00028522,CUST000272,ACC0002358,2024-09-07 16:00:22,999999999.0,SAR,MOBILE,DEBIT,ELECTRONICS,Unknown,0,LEGITIMATE,COMPLETED,****-****-****-7452,15752.006022390782,EXTREME_OUTLIER
TXN00036092,CUST006311,ACC0005275,2024-01-25 19:56:24,999999999.0,SAR,MOBILE,TRANSFER,RETAIL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-4448,15752.006022390782,EXTREME_OUTLIER
TXN00028197,CUST001865,ACC0004256,2024-06-21 09:36:53,999999999.0,SAR,ONLINE,DEBIT,ELECTRONICS,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-1622,15752.006022390782,EXTREME_OUTLIER
TXN00004254,CUST002452,ACC0000509,2024-06-01 09:53:08,999999999.0,SAR,ONLINE,DEBIT,,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-3250,15752.006022390782,EXTREME_OUTLIER
TXN00050067,CUST007234,ACC0000211,2024-09-24 19:35:44,999999999.0,SAR,POS,TRANSFER,RETAIL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-8231,15752.006022390782,EXTREME_OUTLIER
TXN00038030,CUST005768,ACC0005499,2024-03-11 13:25:37,999999999.0,USD,MOBILE,DEBIT,TRAVEL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-7137,15752.006022390782,EXTREME_OUTLIER
TXN00001952,CUST007008,ACC0006366,2024-03-28 12:35:35,999999999.0,SAR,POS,TRANSFER,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-9665,15752.006022390782,EXTREME_OUTLIER
TXN00015608,CUST004301,ACC0005010,2024-03-01 15:19:01,999999999.0,SAR,ONLINE,CREDIT,UNKNOWN,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-5195,15752.006022390782,EXTREME_OUTLIER
TXN00012028,CUST001908,ACC0007107,2024-10-11 02:02:53,999999999.0,SAR,ONLINE,DEBIT,FUEL,Khobar,0,LEGITIMATE,COMPLETED,****-****-****-7092,15752.006022390782,EXTREME_OUTLIER
TXN00007705,CUST005416,ACC0002042,2024-10-02 19:37:41,999999999.0,SAR,ATM,TRANSFER,ELECTRONICS,Medina,0,LEGITIMATE,COMPLETED,****-****-****-1440,15752.006022390782,EXTREME_OUTLIER
TXN00048790,CUST005032,ACC0002726,2024-03-01 02:40:39,999999999.0,SAR,ONLINE,DEBIT,RETAIL,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-2710,15752.006022390782,EXTREME_OUTLIER
TXN00012069,CUST006045,ACC0006431,2024-08-18 13:00:38,999999999.0,USD,MOBILE,DEBIT,ELECTRONICS,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-5477,15752.006022390782,EXTREME_OUTLIER
TXN00024598,CUST002485,ACC0003491,2024-08-20 09:55:57,999999999.0,SAR,ONLINE,CASH_WITHDRAWAL,FOOD,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-7192,15752.006022390782,EXTREME_OUTLIER
TXN00046542,CUST007861,ACC0008868,2024-10-08 05:44:11,999999999.0,USD,,TRANSFER,FOOD,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-5110,15752.006022390782,EXTREME_OUTLIER
TXN00002765,CUST002891,ACC0006603,2024-08-17 18:41:26,999999999.0,SAR,ATM,CREDIT,TRAVEL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-9554,15752.006022390782,EXTREME_OUTLIER
TXN00025701,CUST004462,ACC0004274,2024-04-07 04:29:04,999999999.0,SAR,ONLINE,CREDIT,FUEL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-3206,15752.006022390782,EXTREME_OUTLIER
TXN00003363,CUST002176,ACC0001910,2024-04-18 16:07:35,999999999.0,SAR,ONLINE,DEBIT,RETAIL,Unknown,0,LEGITIMATE,COMPLETED,****-****-****-5229,15752.006022390782,EXTREME_OUTLIER
TXN00038855,CUST007080,ACC0007114,2024-10-13 15:09:50,999999999.0,USD,ONLINE,CREDIT,ELECTRONICS,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-9662,15752.006022390782,EXTREME_OUTLIER
TXN00035376,CUST007515,ACC0000160,2024-10-28 06:38:13,999999999.0,SAR,MOBILE,CASH_WITHDRAWAL,FOOD,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-5500,15752.006022390782,EXTREME_OUTLIER
TXN00018013,CUST006602,ACC0005409,2024-02-21 09:18:33,999999999.0,SAR,MOBILE,CASH_WITHDRAWAL,TRAVEL,Riyadh,1,CARD_NOT_PRESENT,REVERSED,****-****-****-9702,15752.006022390782,EXTREME_OUTLIER
TXN00023244,CUST002281,ACC0007257,2024-10-27 10:08:59,999999999.0,SAR,BRANCH,DEBIT,FOOD,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-9286,15752.006022390782,EXTREME_OUTLIER
TXN00026323,CUST005539,ACC0005676,2024-07-29 22:14:19,999999999.0,,POS,DEBIT,UNKNOWN,Dammam,0,LEGITIMATE,COMPLETED,****-****-****-2878,15752.006022390782,EXTREME_OUTLIER
TXN00003517,CUST005227,ACC0001018,2024-07-08 07:23:36,999999999.0,SAR,ATM,DEBIT,RETAIL,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-8414,15752.006022390782,EXTREME_OUTLIER
TXN00030770,CUST007593,ACC0000440,2024-11-08 17:31:36,999999999.0,SAR,POS,DEBIT,RETAIL,Tabuk,0,LEGITIMATE,COMPLETED,****-****-****-4121,15752.006022390782,EXTREME_OUTLIER
TXN00030314,CUST003508,ACC0007981,2024-11-07 19:13:58,999999999.0,SAR,ONLINE,CREDIT,UNKNOWN,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-2859,15752.006022390782,EXTREME_OUTLIER
TXN00047660,CUST001521,ACC0008906,2024-07-28 07:21:38,999999999.0,GBP,POS,TRANSFER,CRYPTO,,0,LEGITIMATE,COMPLETED,****-****-****-5428,15752.006022390782,EXTREME_OUTLIER
TXN00021009,CUST005828,ACC0000915,2024-10-30 09:50:21,999999999.0,SAR,ATM,DEBIT,FOOD,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-3111,15752.006022390782,EXTREME_OUTLIER
TXN00012278,CUST005880,ACC0009821,2024-07-24 15:13:24,999999999.0,SAR,ONLINE,DEBIT,FUEL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-7509,15752.006022390782,EXTREME_OUTLIER
TXN00049432,CUST006408,ACC0008115,2024-11-18 09:38:58,999999999.0,,ONLINE,CREDIT,RETAIL,Jeddah,0,LEGITIMATE,COMPLETED,****-****-****-7353,15752.006022390782,EXTREME_OUTLIER
TXN00038881,CUST003084,ACC0004393,2024-02-07 02:53:36,999999999.0,SAR,ATM,DEBIT,GAMBLING,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-6349,15752.006022390782,EXTREME_OUTLIER
TXN00002791,CUST003059,ACC0007571,2024-05-17 09:41:28,999999999.0,AED,ONLINE,DEBIT,ELECTRONICS,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-8951,15752.006022390782,EXTREME_OUTLIER
TXN00007722,CUST000184,ACC0000417,2024-05-13 21:51:21,999999999.0,SAR,MOBILE,CASH_WITHDRAWAL,RETAIL,Riyadh,0,LEGITIMATE,COMPLETED,****-****-****-8672,15752.006022390782,EXTREME_OUTLIER
TXN00008759,CUST003976,ACC0002949,2024-11-10 10:20:48,999999999.0,SAR,POS,DEBIT,RETAIL,Riyadh,0,LEGITIMATE,PENDING,****-****-****-5621,15752.006022390782,EXTREME_OUTLIER
